,Date,Open,High,Low,Close,Volume,Volume MA,Daily_Returns
7000,1523952000,1.24026,1.24032,1.23851,1.23856,8376,4762.85,-0.0013706803412186774
7001,1523955600,1.23856,1.23872,1.23649,1.23722,8564,4659.35,-0.001081901563105614
7002,1523959200,1.23722,1.23741,1.23617,1.23713,6520,4338.6,-7.274373191501482e-05
7003,1523962800,1.23713,1.23811,1.2367,1.23676,6162,4195.25,-0.0002990793206857356
7004,1523966400,1.23676,1.23679,1.23451,1.23476,10286,4415.5,-0.0016171286264109463
7005,1523970000,1.23476,1.23618,1.23457,1.23517,9705,4715.1,0.00033204833327937777
7006,1523973600,1.23517,1.23548,1.2336,1.23461,12727,5198.45,-0.0004533788871168287
7007,1523977200,1.23461,1.23496,1.2336,1.2345,9676,5550.9,-8.909696179359994e-05
7008,1523980800,1.2345,1.23571,1.23378,1.2355,7622,5832.2,0.000810044552450373
7009,1523984400,1.2355,1.23683,1.23537,1.23636,6449,6130.7,0.0006960744637798388
7010,1523991600,1.23681,1.2373,1.23649,1.23724,4652,6485.2,0.000711766799314173
7011,1524009600,1.23726,1.2374,1.23696,1.23699,2860,6294.25,-0.00020206265558808667
7012,1524016800,1.23715,1.23811,1.23715,1.23802,2374,5994.8,0.000832666391805903
7013,1524031200,1.23771,1.23812,1.23612,1.23634,10481,5073.35,-0.001357005541105849
7014,1524034800,1.23634,1.2368,1.23484,1.23644,11550,5342.75,8.088389925098305e-05
7015,1524038400,1.23644,1.23724,1.23579,1.23606,12607,5458.8,-0.00030733395878490555
7016,1524042000,1.23606,1.23754,1.23416,1.2364,12331,5590.1,0.00027506755335493516
7017,1524045600,1.2364,1.2373,1.23595,1.23728,6853,5296.4,0.000711743772241924
7018,1524049200,1.23728,1.2393,1.23712,1.23832,9656,5295.4,0.0008405534721325214
7019,1524052800,1.23832,1.23956,1.23814,1.23914,8394,5334.0,0.0006621874798111715
7020,1524056400,1.23914,1.23974,1.23802,1.23854,11765,5599.8,-0.00048420678857907795
7021,1524060000,1.23854,1.23975,1.23746,1.23769,15077,6122.35,-0.0006862919243625365
7022,1524063600,1.23769,1.23834,1.2371,1.23796,10597,6419.6,0.00021814832470168355
7023,1524067200,1.23796,1.23932,1.23722,1.23902,8382,6725.95,0.0008562473747133481
7024,1524070800,1.23902,1.23932,1.23786,1.23826,5712,6939.05,-0.0006133880001937264
7025,1524078000,1.23777,1.23792,1.2372,1.2375,4354,7356.25,-0.0006137644759580674
7026,1524096000,1.23787,1.23793,1.23704,1.23724,2228,7131.65,-0.0002101010101011047
7027,1524103200,1.23682,1.23788,1.2367,1.23774,2119,6796.3,0.00040412531117661743
7028,1524114000,1.23785,1.2384,1.23743,1.23749,2800,5379.6,-0.0002019810299417335
7029,1524117600,1.23749,1.2382,1.23674,1.23809,9922,5533.05,0.0004848524028475687
7030,1524121200,1.23809,1.24004,1.23806,1.23883,14471,5773.8,0.0005976948364014856
7031,1524124800,1.23883,1.23894,1.23598,1.2366,12793,5993.75,-0.0018000855646054248
7032,1524128400,1.2366,1.23702,1.23542,1.23702,8930,5852.0,0.00033964095099481284
7033,1524132000,1.23702,1.23736,1.23555,1.23669,10414,5618.85,-0.0002667701411456225
7034,1524135600,1.23669,1.23813,1.2363,1.23812,8373,5507.65,0.0011563124145905768
7035,1524139200,1.23812,1.23859,1.2372,1.23796,12177,5697.4,-0.0001292281846672072
7036,1524142800,1.23796,1.23851,1.23696,1.23698,11864,6005.0,-0.0007916249313386636
7037,1524146400,1.23698,1.23821,1.23639,1.23646,10576,6270.2,-0.000420378664165999
7038,1524150000,1.23646,1.23659,1.23292,1.2336,13439,6724.45,-0.0023130550118887205
7039,1524153600,1.2336,1.23483,1.23328,1.23445,10294,7143.05,0.0006890402075228064
7040,1524157200,1.23445,1.23586,1.23359,1.23462,15152,7817.65,0.0001377131516060448
7041,1524160800,1.23462,1.23506,1.23369,1.23382,6531,8104.55,-0.0006479726555540521
7042,1524164400,1.23382,1.23524,1.23366,1.23484,6454,8377.3,0.0008267008153539646
7043,1524182400,1.2343,1.23493,1.23384,1.23476,3210,8056.65,-6.478572122692317e-05
7044,1524189600,1.2343,1.23472,1.23366,1.23382,2654,7766.5,-0.0007612815445917631
7045,1524200400,1.2341,1.23461,1.23381,1.23421,3306,6298.95,0.0003160914882236465
7046,1524204000,1.23421,1.23504,1.23337,1.23422,11092,6332.85,8.102348870941967e-06
7047,1524207600,1.23422,1.23528,1.23244,1.2325,14250,6626.7,-0.0013935927144270721
7048,1524211200,1.2325,1.23334,1.23118,1.2315,10130,6524.35,-0.0008113590263690851
7049,1524214800,1.2315,1.23156,1.2295,1.23014,11182,6490.25,-0.0011043442955744887
7050,1524218400,1.23014,1.23029,1.2293,1.23024,8678,6395.35,8.129156031011497e-05
7051,1524222000,1.23024,1.23117,1.22956,1.23045,8650,6155.9,0.00017069840031225247
7052,1524225600,1.23045,1.2312,1.22898,1.22908,9169,6099.65,-0.0011134137917022668
7053,1524229200,1.22908,1.22958,1.22658,1.22668,12049,5944.5,-0.0019526800533732347
7054,1524232800,1.22668,1.22798,1.22495,1.22787,17457,6490.8,0.0009700981511071571
7055,1524236400,1.22787,1.22886,1.22707,1.22818,12436,6789.9,0.0002524697239936202
7056,1524240000,1.22818,1.23004,1.228,1.22969,7814,7092.75,0.0012294614795875791
7057,1524247200,1.22865,1.22902,1.22818,1.22828,3408,7426.8,-0.0011466304515771464
7058,1524254400,1.22817,1.2293,1.22803,1.22871,2761,7563.45,0.0003500830429543633
7059,1524441600,1.22736,1.22792,1.22681,1.2271,4165,7457.3,-0.0013103173246737931
7060,1524448800,1.22784,1.22784,1.22738,1.22752,2752,7093.2,0.0003422703936108995
7061,1524463200,1.22708,1.22806,1.22684,1.22742,7384,5512.95,-8.14650677789519e-05
7062,1524466800,1.22742,1.22895,1.22624,1.22641,15669,5863.9,-0.0008228642192565916
7063,1524470400,1.22641,1.22688,1.22376,1.22388,12616,6036.25,-0.002062931646023669
7064,1524474000,1.22388,1.22412,1.22261,1.22326,10315,5949.55,-0.0005065856129686797
7065,1524477600,1.22326,1.22363,1.22258,1.22287,8834,5518.4,-0.00031882020175610926
7066,1524481200,1.22287,1.22371,1.2225,1.2236,6713,5232.25,0.0005969563404124578
7067,1524484800,1.2236,1.22448,1.22323,1.2241,9392,5311.15,0.0004086302713304235
7068,1524488400,1.2241,1.22461,1.22186,1.22222,10489,5609.2,-0.00153582223674531
7069,1524492000,1.22222,1.22368,1.22148,1.2221,10103,5943.95,-9.818199669464622e-05
7070,1524495600,1.2221,1.22261,1.22102,1.22149,11262,6311.9,-0.0004991408231732608
7071,1524499200,1.22149,1.22232,1.22116,1.22179,7436,6545.65,0.0002456016831902108
7072,1524506400,1.22034,1.22165,1.22026,1.22028,4794,6867.85,-0.0012358916016663724
7073,1524513600,1.22075,1.22095,1.22047,1.22078,1476,6922.5,0.0004097420264201901
7074,1524528000,1.22092,1.22116,1.22018,1.22066,3740,6760.65,-9.82978095970255e-05
7075,1524531600,1.22066,1.22089,1.21845,1.22048,8026,7041.6,-0.00014746120950970276
7076,1524538800,1.22084,1.2215,1.22068,1.22134,2454,6210.1,0.0007046407970634494
7077,1524549600,1.22168,1.2224,1.22016,1.2202,9873,5277.25,-0.000933401018553548
7078,1524553200,1.2202,1.22116,1.21893,1.2196,11712,5527.2,-0.0004917226684149067
7079,1524556800,1.2196,1.22037,1.21815,1.2203,11927,5653.95,0.0005739586749753389
7080,1524560400,1.2203,1.221,1.21969,1.22081,7285,5493.75,0.00041793001720891176
7081,1524564000,1.22081,1.2223,1.22079,1.2211,8582,5417.7,0.00023754720226754067
7082,1524567600,1.2211,1.22229,1.22083,1.2221,7681,5238.65,0.0008189337482595871
7083,1524571200,1.2221,1.22223,1.21964,1.22064,10729,5403.3,-0.0011946649210375915
7084,1524574800,1.22064,1.2235,1.22012,1.22318,16332,5996.05,0.002080875606239374
7085,1524578400,1.22318,1.2235,1.22131,1.22151,14245,6468.6,-0.001365293742539797
7086,1524582000,1.22151,1.22294,1.22092,1.22276,10205,6722.7,0.0010233235912926464
7087,1524585600,1.22276,1.22436,1.22228,1.22402,8997,7098.75,0.0010304556904052742
7088,1524589200,1.22402,1.22434,1.22318,1.22423,7494,7422.05,0.00017156582408772714
7089,1524592800,1.22423,1.22454,1.22349,1.22368,6937,7730.7,-0.000449261985084326
7090,1524603600,1.22325,1.22355,1.22317,1.22334,336,7369.8,-0.00027785041840999725
